game_id,home_team,away_team,bet_side,american_odds,model_prob,ev,kelly_fraction,high_confidence
13b2a30b2be9fb761113ce7cb8d2ea9d,Boston Red Sox,Los Angeles Angels,home,-137,0.8510638475418091,0.47227833479860404,0.32351065933704376,True
34562a9fcbcea523c510c1e42991506b,Baltimore Orioles,Cleveland Guardians,home,-115,0.8510638475418091,0.5911193671433822,0.3398936361074448,True
73c13ede933eb472cc249b925289fd11,Miami Marlins,New York Mets,home,-120,0.7354838848114014,0.34838712215423584,0.20903227329254148,False
7fe872788a9a570ceb3aa6918bbf641d,San Francisco Giants,St. Louis Cardinals,home,-105,0.7354838848114014,0.43594472748892643,0.2288709819316864,True
85c65d8138861fb6a024b339bf4f5ab6,Milwaukee Brewers,Chicago Cubs,home,-206,0.8510638475418091,0.26420163761064847,0.2721276867389679,False
bbab891f2a9defcd506aafce495b42dc,Athletics,Toronto Blue Jays,home,160,0.7118644118309021,0.8508474707603455,0.26588983461260796,True
cd725aa57a2f0e5ac106e101cd15fc1d,Atlanta Braves,Tampa Bay Rays,home,-108,0.8333333134651184,0.604938233340228,0.32666664600372314,True
f62b9e0454b38cb2e0509ef206a08138,Chicago White Sox,Pittsburgh Pirates,home,-135,0.7118644118309021,0.23917138355749623,0.16144068390130997,False
24d1608c7ffefab567006f6da92fc5f0,San Diego Padres,Washington Nationals,away,162,0.5348837077617645,0.4013953143358231,0.12388744269624169,True
a10aaa5c39074d6ea18faef14d18bfb5,New York Yankees,Colorado Rockies,away,285,0.37037038803100586,0.4259259939193727,0.07472385858234608,False
